,0
3,못봤디능
0,형
1,편집
2,편집
3,영상
4,잘
5,듯
0,ㅇㄹㅇ
0,다리우스정글이라
1,아주역겹습니
0,알파카
1,안녕하세요
0,ㅗ
0,룬은용
0,생방
1,안하시
0,유령무희
1,중첩
2,맬모셔스
3,말
4,극치
5,순간
6,저
7,귀
8,의심해버린거
